Set,Category,$,Answer,Question
5,Game Elements,400,"In Hexagon Havoc, human players had to use this device to prevent them from standing.",What is a seat belt
5,NE FIRST History,Wager,The first ever England Regional was held at this college.,What is New Hampshire College (Southern NH University)
6,Starts with D,100,A research and development company founded by Dean Kamen.,What is DEKA
6,Starts with D,200,Point value for capping a goal with the large ball in FIRST Frenzy,What is Double
6,Starts with D,300,A material first introduced in 2000 which covered the driver station walls.,What is Diamond Plate
6,Starts with D,400,This off-season competition presented by team 365 and 316 and  is held in New Jersey every year.,What is Duel on the Delaware
6,FIRST Terminology,100,"A term made famous by Woodie Flowers that goes with the phrase ""Act as if your grandmother was watching""",What is Gracious Professionalism
6,FIRST Terminology,200,The acronym FIRST stands for this term.,For Inspiration and Recognition of Science and Technology
6,FIRST Terminology,300,A term that describes the portion of a round when robots must run without operator aid.,What is Autonomous Mode
6,FIRST Terminology,400,A term used to describe the idea of gaining qualification points equal to a variation of your opponents score.,What is Co-Opertition
6,Numbers,100,The number of teams that appeared on the field during seeding rounds during Ladder Logic.,What is 3
6,Numbers,200,The number of goals in the game Zone Zeal.,What is 3
6,Numbers,300,The point amount for scoring a black ball in Co-Opertition FIRST.,What is 10
6,Numbers,400,"The number of regionals held in 2005, including the Israeli Regional.",What is 31
6,Motors and Actuators,100,This small electronic motor carries 180 degrees of movement.,What is a Servo
6,Motors and Actuators,200,This motor featured a housing which contained its own two speed transmission.,What is a Drill Motor
6,Motors and Actuators,300,This actuator controls the flow of air through an electronically controlled valve in the pneumatics kit.,What is a Solenoid
6,Motors and Actuators,400,This motor used in vehicles had a shaft with a star shape.,What is a Window Motor
6,Know Your Teams,Wager,This team based out of Kokomo Indiana was the national champion of Ladder Logic.,"Who is team 45, Technokats"
7,Know Your Teams,100,This team based out of Berlin CT is known for its bright colors and nut shaped hats.,"Who is team 155, Techno-nuts"
7,Know Your Teams,200,"Based out of Florida, this team is named after a famous processed food.","Who is team 180, SPAM"
7,Know Your Teams,300,This team based out of Rhode Island was once known for its innovative tipping device which would change the game forever.,"Who is team 121, Rhode Warriors"
7,Know Your Teams,400,Coqui Power is a team based out of what U.S. territory?,What is Puerto Rico
7,Mechanisms,100,This mechanism allows for a motor's gearbox to change characteristics to either more power or speed.,What is a 2 speed transmission
7,Mechanisms,200,This mechanism features small rollers around a wheel which can be used for easy turning or multidirectional movement.,What is an Omni wheel
7,Mechanisms,300,"In Zone Zeal, Beatty and Hammond used a walking mechanism with this material on the bottom of it to gain ultimate traction to move goals.",What are file cards.
7,Mechanisms,400,"In Double Trouble, Gompei used a mechanism to tip this game element.",What is the puck
7,FIRST Trivia,100,This entity was created to inspire elementary and middle school kids to get involved in FIRST by using a kit with building blocks and a small programmable controller.,What is FIRST Lego League
7,FIRST Trivia,200,"In 2002, FIRST partnered with National Beverage Corp. to place the FIRST logo on this drink's bottle.",What is Mt. Shasta
7,FIRST Trivia,300,Team numbers were changed permanently to represent the teams they do today in this year.,What is 1998
7,FIRST Trivia,400,"Carlo Bertochini originated as a coach of the national champion Raychem and Woodside High School team, and then went out to build this champion Rattlebox.",What is Biohazard
7,FIRST Sponsors,100,This sponsor hosts many regionals and provides webcasts for multiple competitions.,Who is NASA
7,FIRST Sponsors,200,"In 1995, this chain store teamed up with FIRST to sponsor the Leadership in Control Award.",Who is Radio Shack
7,FIRST Sponsors,300,This company sponsors the Quality Award.,Who is Motorola
7,FIRST Sponsors,400,"This company based in CT, is the host sponsor to the New England Regional.",Who is United Technologies (UTC)
7,Numbers,Wager,The number of points a team would get for having all 9 balls in the center goal structure during Ladder Logic.,What is 0
8,Game Elements,100,"This type of ball could be found in Zone Zeal and Tower Power","What is a soccer ball"
8,Game Elements,200,"In Diabolical Dynamics, robots had to balance goals on this game element.",What was the bridge
8,Game Elements,300,"In 1996, this element was added to the game to increase interactivity between robots and team members.",What is the human player
8,Game Elements,400,"In FIRST Frenzy, this game element allowed for release of balls during autonomous mode.",What is the Bonus Ball
8,FIRST Jukebox,100,This song by Queen is most likely heard as the finals come to an end.,Who is We Are The Champions
8,FIRST Jukebox,200,This Buster Poindexter song tends to get the conga lines flowing at FIRST events.,What is Hot Hot Hot
8,FIRST Jukebox,300,You can find FIRST style square dancing to this popular Rednex song,What is Cotton Eyed Joe
8,FIRST Jukebox,400,This DJ Casper song might have FIRST teams hop from 1 to 5 times.,What is the Cha Cha slide
8,Triple Play Penalties,100,Points lost for hitting a team in the loading zone.,What is 30 points
8,Triple Play Penalties,200,"If this happens, ownership of the goal goes to the opponent of the violating team.",What is descoring a tetra.
8,Triple Play Penalties,300,Points lost for a foot foul when loading at the human player station.,What is 10 Points
8,Triple Play Penalties,400,Points lost for knocking over an auto loader.,What is 10 Points
8,Electronics and Sensors,100,This electronic component controls the output voltage to motors to vary RPM.,What is a speed controller
8,Electronics and Sensors,200,"In 2005, robot programs could be created with this programming language.",What is C
8,Electronics and Sensors,300,This micro-switch has a small metallic flap that hits a small switch when depressed on a robot.,What is a limit switch
8,Electronics and Sensors,400,These colorful packets can be electronically changed to represent the alliance color you are representing in a round.,What is an LED Packet
8,FIRST Trivia,Wager,This is the name of a museum in Manchester that FIRST created to promote its programs as well as science and technology.,What is FIRST Place
